x,y,labels,doc_top,topic
5.8048525,4.569896,8,4,14
10.495692,10.585433,43,95,8
4.105291,10.869889,48,53,0
4.944347,9.999647,53,20,3
4.861903,9.739306,53,0,0
3.6728053,10.531238,53,0,0
4.8952065,11.9405575,13,8,10
7.620511,6.9104166,73,1,1
5.130246,9.755289,53,0,0
13.453808,7.8255453,62,12,5
7.8360476,11.375071,21,35,6
5.884799,6.7516723,38,5,13
3.02304,9.973253,53,0,0
3.9444685,9.8934555,53,0,0
3.529643,6.5062985,4,2,7
7.0009623,5.4302936,6,104,4
6.055744,6.3115945,38,3,2
3.7499554,10.165951,53,0,0
6.336456,6.8315597,37,46,13
11.118101,8.244078,70,29,17
5.2502513,10.697899,34,20,3
10.057158,5.1867523,5,63,12
8.216714,4.4746914,3,102,15
8.280185,8.147388,84,70,15
13.223979,7.377478,62,69,19
3.492746,7.05056,4,2,7
4.98572,11.716674,13,8,10
5.4279428,6.515198,38,5,13
6.4216113,9.252453,81,15,3
5.8380256,4.5282454,8,4,14
4.006376,10.879046,48,53,0
5.921242,4.6619463,8,4,14
7.5120783,11.599089,21,24,6
10.123777,5.283824,5,63,12
7.167752,8.792476,66,15,3
3.3157125,6.86298,4,2,7
4.8237033,11.787574,13,8,10
8.074312,5.982737,73,54,2
8.346446,10.087092,33,22,7
7.12722,8.910846,66,41,7
3.2469141,9.984986,53,0,0
3.605819,9.708235,53,0,0
5.0621266,6.5976553,38,5,13
9.387742,9.791913,86,50,4
7.3704815,8.167274,56,108,7
11.9392185,6.387889,76,28,5
5.801553,9.492629,55,34,3
11.901752,9.851103,103,31,11
4.810954,9.989874,53,80,6
10.3315325,8.578935,91,40,15
8.680725,8.392014,83,19,15
5.204792,10.551794,34,20,3
11.336003,7.2412257,85,18,5
4.6932397,10.213905,53,3,2
3.4328632,6.3548236,4,2,7
5.352448,8.160184,89,48,3
3.6018162,8.918573,19,60,0
11.327629,10.358542,114,25,8
7.3136873,6.5477076,73,1,1
9.154662,5.473614,27,72,12
7.378703,11.690959,21,61,6
4.374777,10.307307,53,0,0
3.2584133,10.221591,53,0,0
5.9500303,6.528698,38,86,12
6.4679046,9.058287,80,15,3
7.695158,10.016074,39,22,7
8.20887,8.066954,84,70,15
4.46704,8.182033,75,6,18
8.178005,11.755898,21,24,6
4.718272,9.779659,53,0,0
12.490776,7.565939,78,14,19
6.0731487,4.9394665,8,4,14
5.1621857,8.46848,75,54,2
4.8614416,11.799318,13,8,10
4.502968,9.91748,53,60,0
11.97122,6.4760866,76,28,5
12.418365,6.5654798,54,21,5
3.5545506,6.6954937,4,2,7
10.32636,6.6383967,63,26,9
13.509774,7.9660077,62,12,5
8.242226,8.184534,84,70,15
8.266671,10.10951,33,2,7
5.571597,6.366024,38,46,13
4.4357734,7.8859053,75,6,18
3.8481457,6.60589,4,2,7
7.23657,6.7510753,73,1,1
4.5696626,8.1503525,75,6,18
7.7641335,11.388227,21,24,6
5.55602,8.23565,89,48,3
9.744216,6.0639358,52,66,12
5.0477924,11.78684,13,8,10
11.328279,10.28022,114,23,11
3.8374207,4.772754,0,51,13
6.6811566,5.2516108,7,4,14
5.7933064,4.490431,8,4,14
4.6430726,7.987107,75,6,18
11.842004,9.130113,115,32,8
8.330594,8.0699625,84,70,15
11.599308,10.79742,106,23,11
9.627674,8.907282,98,7,17
5.2914224,10.6143875,34,5,13
3.7155433,6.3893166,4,2,7
3.53799,6.3275213,4,2,7
12.157955,9.92495,103,17,11
12.357433,7.47917,78,42,19
8.519516,6.6103363,73,1,1
3.5878441,8.916029,19,60,0
3.2659314,10.211961,53,0,0
3.493335,9.824557,53,0,0
